,ali_uid,ins_id,bw_c1,bw_c2,bw_c3
3517,98051,e43201de42a16e16d0cc58f8a80ea1ae,11965,1811.3848963384198,4940.784762818366
3518,98051,e51c20a42059b2f08d9c5e8f0e5a21b4,7085,625.3755467256685,2125.9603250585496
3519,98051,e55d8c15242627f0c24fb08ca53cf6eb,136525,55162.135174067,83818.22267926298
3520,98051,e5b083b9e43712ad98e9299809146911,1485,100.85191201991677,419.69846734777093
3521,98051,e5cb428f7c00aac292fd8190535e65c5,17325,18474.25708605421,37478.60116291791
3522,98051,e5dba389a054ede32a35b9e3e61ecf75,1165,67.57199494966655,319.44212668575346
3523,98051,e5ec8a19365663bcb910f73e270852c6,2845,170.14756114816564,969.285980835557
3524,98051,e60bbf573136a96865c64b5ce5afb3a4,32125,2960.7914133680874,8013.585592238233
3525,98051,e6693b711835d1595753ff98c6b47e90,1485,65.4991899401665,300.56999414227903
3526,98051,e6aab9552ba4615f818413d73122d032,133485,61312.63658639728,95159.36501163058
3527,98051,e72cc43cd82fbe4c29c48e01692a0557,3565,582.5860134405848,2741.7325658071786
3528,98051,e88fb1e7bd7cd089f8e3082a038cc2f6,22445,6490.382481268981,15695.77023890801
3529,98051,e99dea80be72ac2a19d6dd9dbe071e02,124605,46386.40151952646,73367.1856759116
3530,98051,e9a3bfdba66ea9ddbe2771e7a900a338,93405,137.68243593475,202.80905937775972
3531,98051,ea22f8a41f90744cf1ee1c5e02fc1940,46,5.537638233749981,47.22676268778742
3532,98051,ea996d862d0908ed6301857573298bb5,1165,49.97962303808349,197.7255771495402
3533,98051,eb0252e42e5192192564febda84ee92c,2205,156.53545457166646,789.2241316940637
3534,98051,eb4e7ef32e6e280f31199d3f4ef87bd1,1565,119.03355766750067,401.70778851024806
3535,98051,eb5c1fe619a8173e5bcbcd3b0048e3ac,67085,29888.439599073983,52554.10945971497
3536,98051,eb9f5c5444231d58f66d4f31e9afbdce,92925,55625.292707864646,98294.05942367391
3537,98051,ebdd923203baa7079e7d4aafca57cefe,59405,46947.62029327229,88248.15877131186
3538,98051,ec571843b9d911506be95283bf350475,28045,20288.689961492226,43889.5720094908
3539,98051,ecdcf796cceb5670605f89c1d1b6e1b4,71,0.12001765649999997,0.8013905491679907
3540,98051,ed8e62b7a116562e750d2db0db2cd37b,1245,27.523004981166654,136.3135369308293
3541,98051,ed994ac3c1b3532a4dbc30ec05477d2c,685,50.979601931333605,314.9033540301025
3542,98051,edfa34666cd7b942368ad41d209b9fc0,765,71.69007611333338,558.7633600831032
3543,98051,ee00ec02c00a06ea0232c398d6914a4c,96,8.667540850500009,57.29791939258576
3544,98051,ee22633490aadf3714f2b8e35d5bc6e2,1245,69.26850588541647,525.6988985929638
3545,98051,ee25563823b3fa7455777dc511f203f3,2045,178.30776443674952,1457.6527665182948
3546,98051,ee9d77bcb1b9bb447e5a0af1e3dd0f33,26125,8328.59417388377,19924.97177406214
3547,98051,ef921b48caa23388fae8c1085cee26ca,31085,30064.37856879609,54293.888466618955
3548,98051,f03b648e4d941c52718e4bef542e4ea2,46,6.261794532000012,58.80892868153751
3549,98051,f05412ba06908a4181d7f2fd836065f2,40845,3556.0566951922356,9179.649550504982
3550,98051,f0e36b471800c1a85089d8f6465fc84d,1805,103.68622082983343,417.04338373616343
3551,98051,f0e7f6c5540abec8cff791d3dd3070ef,1565,93.61430756558363,472.215907657519
3552,98051,f0fa39bf1e22ba03a923703d94ac1e98,3165,1802.5551541407465,5365.304409312084
3553,98051,f1075fb884d41be9813a89a4020f4594,235725,159530.48302237946,210027.19374471344
3554,98051,f126b64cc7144eeec4fb6ec77d25f506,9085,1204.5253324112496,2643.8447518553585
3555,98051,f12b4adc851cf65387799158ea79f379,101885,44343.27004677913,66860.0683571957
3556,98051,f1933fab855aec9e94e49500df694ab3,32605,18935.40558023453,42589.84752031044
3557,98051,f256dd5edec452922bfbb396757e63ff,46,4.189253932499987,36.04623078368604
3558,98051,f356854e8abd701fba26987d74ab6097,49085,14538.659619941589,26425.38113426417
3559,98051,f38c58387aa802f7d13e0cafa81bb8ea,28365,10725.36636186881,24861.88043489121
3560,98051,f39e0f506048311e46e16d6856755c53,1005,126.69201941683309,914.4571235217155
3561,98051,f3a0674c9b40add8b5fc3acb7f72a10c,765,17.87699031383338,122.00538869015872
3562,98051,f3bbf1e44efc5ed56c63d45ec47e247b,1245,572.1764977213314,3125.845971638337
