uuid,ali_uid,nc_name,ens_region_id,status,image_id,cores,memory,storage,os_type,os_name,start_time,end_time
"cac35ae46c9e99623aeb386ea87f97cd","66394","1edabc1bd24704024c15767c29cb9229","hangzhou-cmcc-2","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"a22322c5be8541e9d26ee05d85912261","66394","f5969f202efb91a74bc8d78238c5e386","hangzhou-cmcc-2","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"3fc847ea81271b0ffca652a710ff3eb0","66394","17e48a47f984f05b1e42777a83753aa7","hangzhou-cmcc-2","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"c0992e0f39ffebb73a95258e51fbdc1c","66394","a5fbe8a3f28264128f989fd13e114e57","hangzhou-cmcc-2","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"49acc32320a21e6beb4254a9500c011d","66394","1748f343e3c9b456aeb6cb55170bcc3e","haerbin-cmcc","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"aa1171bea3f8784b807e1db42fb3dca1","66394","6cc7380a822516dfb68f8601afb6415a","taiyuan-telecom","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"31549136ba5d14ae67ec800da10696cc","66394","7d2815ba4b394df4fdff911fc9c52ccd","taiyuan-telecom","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"18100441149a6d2edb596a5517a3e27c","66394","b2b5f6652de97d6250ee4f81cb5e954f","wuhan-telecom","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"d47a9b9e44d399ff2a2316feb9df14a4","66394","b7c40dede33b5e6adb220b8c2a5bdabf","wuhan-telecom","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"7fc7b2d43dfa3d7b093664700e453525","66394","1ac1a685d6f9e99deef5bc67928144fc","wuhan-unicom","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
