,vm,sea_min,sea_avg,sea_max
70,+GODzZPoTEjvtFjD3KEd90h9gLUdAa8/D3Ee+QocIKYIxsh0jlcKEXttXoncEYtl,0.0555183762421555,0.11943938741960458,0.05250413896121631
71,+GOn6BPhRSSO9ECtb+RqUjxm3fqOr48MfFXJHsJKlUJcyytApgKnQcBqzGApzzgS,0.07870074289018913,0.023838690146466335,0.1553168449424196
72,+GQtltnikEh4Ewt0yvvQWjIp6oMEu2yJHaBJLeVbZN8T9iyZQapq0u+vkJ0eSVFa,0.03675893995706969,0.9979253109595954,0.9829721942230749
73,+GUsqTu6PdlsOzWM4dmJM4CzCbrh+ASqn0rWFT+fn7ZKwnsazVsEl5Er3AC1K3Ka,0.20443895160750825,0.08982903815946552,0.10244405014062874
74,+GaIzvjJxLsPzemzAfV9yvp+bwLs9BdnNXclNv6oE++cwR3rka25uZi5ax0bsiWh,0.055351769979319676,0.4004160032747902,0.012674202051889516
75,+H4ZyijjXr2RW80PINxFwf9IdHfcz07r7q+G4DBEw+S/Now2lYWdWyBNinPB2nS5,0.029540313952806763,0.03182352301786273,0.043729556186630325
76,+HqwLSMR7sJ4Zt0AG14nzPL2An1f7YvWG9fQbLjiWzqb8HyRzQCzPiGDqHqsuKM4,0.026903121775872174,0.07053823426541928,0.33833172944632617
77,+IXiKLW1j9bnQX6eCpgUBfYPq3/j3lJbRK4GrGkDVDO66p/rA2ZjIOPL2VQ0OBha,0.04346099708749973,0.04118300433352362,0.030480532035567887
78,+IjaDjaRruRa6ACbfsAhOcBtPTeuKN8XrFcNXMtslzjBlPME1JQCJoWflajm0vIS,0.3828426264612951,0.5926028894868061,0.6805091012752775
79,+JAJNqERJ6Ortvk9lvWuqzRj16lLDP2vJ6Di5fn/EGVCpNEWNBOzOrlQLqq3DWKT,0.07980956418097129,0.06226780831723677,0.04597837350595857
80,+JI3DKE5ZFyE70m3Rb0uSX8porqmtu4oPTyzCRr43CWZwMQQwwTqhpaQ6OX7qpvm,0.02980154464578011,0.04374751495514784,0.08312740282895725
81,+JSjm1Xg1kRLEnJYj+Kp8KoXBNXARQY5NxiIAI1/ScioXGTnk7aEnpl/5ZpqUFYh,0.24716162735156755,0.2234566585883001,0.2362544539690915
82,+JpwXFATzpxscp8R3eFMjRVMo11IrsGlil0nZ5GIZW13ICnyahn2GlfrHadI2qla,0.02326447519387198,0.1396555781166785,0.2956782210508676
83,+Jyu7cnJJYFkQrq5mkl3cwLeuhjl5+AYVir/PT/VdCKHwnnczhd+4ZDwJNpudDLT,0.095367995513438,0.1844814239317547,0.055536672397183406
84,+KVZBN7RsSkxyH5y8FFO0Ff7K7vJeK5dciePfY6O+PC2jL69aA+Y53WVcxGl2EIG,0.06946279872543804,0.03093008005657183,0.19597237674316825
85,+Kme2yjGeXUvEVopMMpj+1gtsxrNdZ//z37gZJydYqZunp/MeurIaNCikP3FUwao,0.20870038548183523,0.07079667018973956,0.11526212360950294
86,+LELPBuOqS8isNsFEcF/O/HyK2WvhzJIq2UrL2Vc3ZaXbynsFmmOyOZT+PdIxASD,0.22704227171312974,0.9987861235220933,0.9928566112238433
87,+LK1PV1IKOi0cwV28UfTMW5mTOAC5/ihtOZ1euFLwS/XlhMCEPFG7Ipw6EJD/Kwa,0.12200614033769275,0.2535925684322454,0.19780219766023655
88,+LMxY4Rh3XEfz6IuJj7WcZGeMAgUCrqUFpN7K346i0z/aQJqZuxdMC+gLOGXbbej,0.04367945975981091,0.4638937297817557,0.15735241776033593
89,+MSe7LQtnAFN1VDoZ5mxoh6gRXYzt68gbKm3tJYcLSpTxTHWBXOcAtGwXsURAuVy,0.033471274167692244,0.24843240180537662,0.12815981491315087
90,+MwZ1G8I5bC7/yhDvAN4Iy/i+fnnah61ld091L+hHlwE+tP1rQXTkclggLggDtMs,0.18950367532598889,0.8850210695555205,0.08299061725346557
91,+N6uklxcNYAURhtB4cs/jk+fSQ41yv7xG4l/BXIDzqlThmv3DMeyODd5Lm81Wh2R,0.02980336616948831,0.07067181650949794,0.09161663192600211
92,+N9a6LpSZya9SA1b3pXjD2eRBf4dzEaW0QIqyWRW6uv/Htv7HjWr/fHJ5vpc8qJC,0.03388601915718448,0.4374451092846817,0.7935668215954327
93,+NFLFHbU2mlaXzlZDSrXv9SDzDHLAYmXyR9cciECurLXTIrSA0MpfS0rj+jDqYqh,0.04487865301380034,0.2757073692033929,0.24210745189708527
94,+NL1Z7CzArWd8GSlOobdLDJSoUS3fepckmB7p+eF1lo+RM2KkQMy93IP8AJy8OVg,0.07361777280767179,0.04896377828855247,0.03359818000786596
95,+NLgWxmGFAUSHnFM6mSAM3GjK4vV26I+KaWkOB9Wfd16qffAsCEJVKzNwD5botfB,0.1229088540703297,0.044812368561385596,0.033683709095022385
96,+NP0ZPuU0XuEmzj/HFq7lktbo+45x2fbL4yx+yH7NhM+sRF8tOx4+kA1eXNkUJoY,0.03842971603389411,0.10195642488682444,0.05076239521494297
97,+NRpE3vslQ1pwPybrCB5p/MaHB05Clg5/bLZUM0pCTWCBZO6syvwmyjtQ1v4L2H+,0.03221147879882624,0.11548348396352204,0.14866701723634201
98,+NTGrV9yA8lBoae1jhuGnUx6iSOoVNP46jzIDZkoA55YTnKEeefkSw1xId+aTIbi,0.1721970288262581,0.29767461858191546,0.34271511415938594
99,+NVBR501DQMjEahFSLFZrJtkGAGkEEFrTQ2NMrwg05k0gEk3kjiXTP9B9ng5uTps,0.041653922201568716,0.27175832893107976,0.2811470755173584
100,+Nd/5cFdKVVaIHHQsAf29x3CETawZzlYx29AqcgYfD+vKsSB9Pg9AdBAScbNtuTh,0.07512130771801506,0.1530999546828522,0.22722037573857334
101,+NiJv3L16HGH2n01XCVhy84IoSUn0eFVc/RGMRtsqh0ZgQMqFf6+DN0BjC8caD0o,0.021602393922711682,0.1871415390747656,0.29347873227549615
102,+O2QiZ/94tb9w4CtQBimGGO/qWRDJOUVjSuUjE753S0yIXTvGz+JxM1w2uns+EpH,0.058755420303670314,0.1908577281661814,0.10637089926991328
